Shrt_Desc,Class,Sugar_Tot_.g.,Iron_.mg.,Cholestrl_.mg.
SNACK/PRETZEL/HARD CHOC COATD,2.0,38.8,2.54,0.0
FORM BAR/MARS SNKF US/SNICKERS MARATHON MULTIGRNCRUNCH,2.0,33.04,14.67,3.0
CEREALS RTE/GENERAL MILLS/COCOA PUFFS BROWNIE CRUNCH,1.0,32.79,16.7,0.0
CEREALS RTE/FRSTD OAT CRL W/MARSHMALLOWS,1.0,43.5,15.87,0.0
CEREALS RTE/KELLOGG/KELLOGG'S LOFAT GRANOLA WO/ RAISINS,1.0,28.3,3.7,0.0
SNACKS/GRANOLA BAR/KASHI TLC BAR/CHEWY/MXD FLAVORS,2.0,17.14,3.39,0.0
CEREALS RTE/POST/FRUITY PEBBLES,1.0,34.4,6.7,0.0
ICE CREAMS/VANILLA,3.0,21.22,0.09,44.0
CEREALS RTE/MALT-O-MEAL/CRISPY RICE,1.0,9.0,35.09,0.0
CANDIES/NESTLE/OH HENRY! BAR,3.0,46.2,0.5,7.0
PUDDINGS/TAPIOCA/RTE/FAT FREE,3.0,14.18,0.11,1.0
CANDIES/HERSHEY'S MILK CHOC W/ ALMOND BITES,3.0,44.59,1.5,19.0
SNACKS/FRITOLAY/SUNCHIPS/MULTIGRAIN/FRENCH ONION FLAVOR,2.0,8.82,1.55,0.0
BANANA CHIPS,2.0,35.34,1.25,0.0
CEREALS RTE/KASHI GO LN CRUNCH!/HONEY ALMOND FLAX,1.0,22.1,2.8,0.0
CANDIES/MARS SNACKFOOD US/SNICKERS ALMOND BAR,3.0,53.93,0.85,13.0
CEREALS/FARINA/ENR/CKD W/ H2O/WO/ SALT,1.0,0.76,5.33,0.0
CEREALS RTE/POST/SHREDDED WHEAT/ORIGINAL SPOON-SIZE,1.0,0.9,2.5,0.0
CEREALS RTE/MALT-O-MEAL/APPL ZINGS,1.0,47.18,30.42,0.0
CEREALS RTE/KASHI ORGANIC PROMISE/CINN HARVEST,1.0,16.5,2.8,0.0
ICE CREAMS/CHOC,3.0,25.36,0.93,34.0
SNACKS/TORTILLA CHIPS/PLN/WHITE CORN/SALTED,2.0,0.8,1.56,0.0
CANDIES/REESE'S PNUT BUTTER CUPS,3.0,47.17,1.21,6.0
CEREALS RTE/POST/COCOA PEBBLES,1.0,35.8,6.2,0.0
CEREALS/WHL WHEAT HOT NAT CRL/CKD W/ H2O/W/ SALT,1.0,0.08,0.62,0.0
CEREALS RTE/KELLOGG'S POPS MIXIT CRL/ALL FLAVORS,1.0,38.78,15.42,0.0
ICE CREAMS/BREYERS/ALL NAT LT VANILLA CHOC STRAWBERRY,3.0,22.47,0.31,14.0
CEREALS RTE/GENERAL MILLS/TRIX,1.0,32.0,14.1,0.0
CEREALS RTE/KASHI GRANOLA/MOUNTAIN MEDLEY CRL,1.0,17.6,2.7,0.0
SYRUPS/CORN/HIGH-FRUCTOSE,3.0,75.65,0.03,0.0
SYRUPS/CHOC/HERSHEY'S GENUINE CHOC FLAV LITE SYRUP,3.0,28.57,0.0,0.0
DESSERTS/PUDD/CHOC/DRY MIX/REG,3.0,42.88,1.82,0.0
CEREALS RTE/KELLOGG'S FRSTD MINI-WHEATS/BITE SZE & LTL BITES,1.0,20.25,29.75,0.0
SNACKS/KELLOGG'S/NUTRI-GRAIN CRL BARS/FRUIT,2.0,30.84,4.9,1.0
CEREALS RTE/SUN COUNTRY/KRETSCHMER HONEY CRUNCH WHEAT GERM,1.0,24.85,8.05,0.0
CEREALS RTE/KELLOGG/KELLOGG'S PRODUCT 19,1.0,12.5,60.0,0.0
CORN CAKES,2.0,23.47,1.4,0.0
CEREALS RTE/POST/HONEY BUNCHES OF OATS/JUST BUNCHES/HNY RSTD,1.0,23.3,14.2,0.0
CEREALS RTE/KELLOGG/KELLOGG'S COCOA KRISPIES,1.0,38.6,14.5,0.0
SNACKS/FRITOLAY/SUNCHIPS/MULTIGRAIN SNACK/ORIGINAL FLAVOR,2.0,7.2,1.74,0.0
Popcorn/ microwave/ regular flavor/ palm oil,2.0,0.3,2.0,0.0
CEREALS/QUAKER/OAT BRAN/QUAKER/MOTHER'S OAT BRAN/DRY,1.0,1.43,8.07,0.0
CEREALS RTE/MALT-O-MEAL/MAPLE & BRWN SGR HOT WHT CRL/DRY,1.0,28.0,31.29,0.0
CEREALS RTE/KELLOGG/KELLOGG'S/RAISIN BRAN CRUNCH,1.0,35.9,8.5,0.0
CEREALS RTE/CORN FLAKES/LO NA,1.0,6.11,2.22,0.0
CEREALS RTE/RALSTON CRISPY RICE,1.0,7.65,32.73,0.0
CANDIES/MILK CHOC COATD RAISINS,3.0,62.22,1.71,3.0
SNACKS/GRANOLA BARS/SOFT/ALMOND/CONFECTIONERS COATING,2.0,34.0,1.49,0.0
PUDDINGS/COCNT CRM/DRY MIX/REG,3.0,80.54,0.57,0.0
SNACKS/GRANOLA BAR/FRUIT-FILLED/NONFAT,2.0,55.34,4.0,0.0
CEREALS RTE/KELLOGG/KELLOGG'S SPL K/CINN PECAN,1.0,24.0,27.0,0.0
CEREALS/QUAKER/INST OATMEAL/CINN SPICE/RED SUGAR,1.0,11.91,12.0,0.0
SNACKS/PRETZELS/HARD/PLN/MADE W/ ENR FLR/UNSALTED,2.0,2.21,4.32,0.0
CEREALS RTE/GRANOLA/HOMEMADE,1.0,20.0,4.23,0.0
CEREALS RTE/POST/HONEY BUNCHES OF OATS/W/ ALMONDS,1.0,20.0,33.8,0.0
CEREALS/QUAKER/QUICK OATS W/ IRON/DRY,1.0,1.42,49.45,0.0
CEREALS RTE/GENERAL MILLS/HONEY NUT CLUSTERS,1.0,24.8,7.9,0.0
CEREALS RTE/KELLOGG'S SPL K MULTIGRAIN OATS & HONEY,1.0,26.4,27.9,0.0
CANDIES/BUTTERSCOTCH,3.0,80.46,0.01,9.0
CANDIES/SPL DK CHOC BAR,3.0,47.56,2.13,5.0
